url,price,type_of_property,subtype,type_of_sale,land_surface,living_surface,postal_code,locality,bedrooms,description,equiped_kitchen,terrace,terrace_surface,furnished,open_fire,garden,garden_surface,number_of_facades,swimming_pool,state_of_building
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/roeselare/8800/20820613,,,,,,,,,,3 bedrooms137m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bavikhove/8531/20818783,,,,,,,,,,3 bedrooms155m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bavikhove/8531/20818779,,,,,,,,,,3 bedrooms160m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ottergem/9420/20818722,,,,,,,,,,3 bedrooms127 - 129m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/waardamme/8020/20819960,,,,,,,,,,3 bedrooms130m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/waardamme/8020/20819768,,,,,,,,,,3 bedrooms130m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/herdersem/9310/20818143,,,,,,,,,,3 bedrooms142m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/zottegem/9620/20819810,,,,,,,,,,3 - 4 bedrooms177 - 228m²square metersAvailable date : 06/01/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wetteren/9230/20818470,,,,,,,,,,3 - 4 bedrooms121 - 158m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/erpe-mere/9420/20817600,,,,,,,,,,3 bedrooms142 - 154m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/jabbeke/8490/20818148,,,,,,,,,,3 bedrooms163m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/lievegem/9950/20818730,,,,,,,,,,3 bedrooms138 - 150m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/merelbeke/9820/20818165,,,,,,,,,,3 bedrooms161 - 165m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/waardamme/8020/20819738,,,,,,,,,,3 bedrooms153m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/waardamme/8020/20820005,,,,,,,,,,3 bedrooms153m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/waardamme/8020/20820693,,,,,,,,,,3 bedrooms143m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/20820704,,,,,,,,,,4 bedrooms180 - 192m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/forest/1190/20819372,,,,,,,,,,3 bedrooms143 - 155m²square metersAvailable date : 08/31/2026,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bruxelles/1000/20819354,,,,,,,,,,3 - 4 bedrooms131 - 157m²square metersAvailable date : 07/01/2026,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/chaumont-gistoux/1325/20821459,,,,,,,,,,3 - 4 bedrooms320 - 326m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/uccle/1180/20819145,,,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ixelles/1050/20819255,,,,,,,,,,5 - 6 bedrooms202 - 232m²square metersAvailable date : 12/01/2026,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/destelbergen/9070/20818169,,,,,,,,,,3 bedrooms1 bathroom124m²square meterslivable space603m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/leopoldsburg/3970/20820814,,,,,,,,,,3 bedrooms145m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/aalst/9300/20818004,,,,,,,,,,2 bedrooms108m²square metersLink to the virtual visit,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ittre-virginal-samme/1460/20817469,,,,,,,,,,2 - 4 bedrooms152 - 225m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/mol/2400/20820825,,,,,,,,,,3 - 4 bedrooms186 - 241m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/ans/4000/20820904,,,,,,,,,,3 bedrooms1 bathroom113m²square meterslivable space275m²square metersof landAvailable date : 04/15/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4032/20821872,,,,,,,,,,3 bedrooms3 bathrooms129m²square meterslivable space260m²square metersof landAvailable date : 01/31/2026Link to the virtual visit,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/20810220,,,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/de-panne/8660/20822148,,,,,,,,,,"1 bedroom1 bathroom77m²square meterslivable spaceFloor :
                                        7",,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/koksijde-koksijde/8670/20822147,,,,,,,,,,"1 bedroom1 bathroom64m²square meterslivable spaceFloor :
                                        1",,,,,,,,,,
